4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12
2,2,NaN,4,24,NaN,38.5,54.667,49.5,95.2,78,72.667,60.923,NaN,NaN,NaN,NaN
NaN,NaN,3,2,11.25,39,40,38.5,36.9,53.571,64.462,89.5,72,106.33,89.1,80.385,49.7
NaN,NaN,2,NaN,NaN,9,23,17.5,20.333,52.625,28.286,28.5,42.8,28,22.8,52,32.714
2,2,2,NaN,NaN,3,31,43.5,55.25,51.818,41.333,65.846,58.929,59.5,NaN,NaN,NaN
