4,0,30,20,1
4.5,0,30,17,1
5,0,30,12,0
5.5,0,30,13,1
6,0,30,14,1
6.5,0,30,14,0
7,0,30,15,4
7.5,0,30,18,12
8,0,30,10,6
8.5,0,30,13,10
9,0,30,13,10
9.5,0,30,10,9
10,0,30,16,13
10.5,0,NaN,NaN,NaN
11,0,NaN,NaN,NaN
11.5,0,NaN,NaN,NaN
12,0,NaN,NaN,NaN
4,1,30,11,0
4.5,1,28,14,0
5,1,29,10,1
5.5,1,30,11,1
6,1,30,13,4
6.5,1,30,15,4
7,1,30,13,7
7.5,1,30,17,12
8,1,30,11,10
8.5,1,30,12,7
9,1,30,14,13
9.5,1,30,11,10
10,1,30,11,11
10.5,1,30,7,6
11,1,30,12,10
11.5,1,30,14,13
12,1,30,13,10
4,3,30,12,0
4.5,3,30,12,0
5,3,30,6,1
5.5,3,30,12,0
6,3,30,11,0
6.5,3,30,9,3
7,3,30,11,1
7.5,3,30,10,6
8,3,30,7,3
8.5,3,30,11,8
9,3,30,10,7
9.5,3,30,8,6
10,3,30,16,10
10.5,3,30,14,12
11,3,30,11,10
11.5,3,30,6,4
12,3,30,17,14
4,4,30,16,2
4.5,4,30,17,1
5,4,30,15,1
5.5,4,30,9,0
6,4,30,12,0
6.5,4,30,12,1
7,4,30,8,2
7.5,4,30,8,2
8,4,30,10,4
8.5,4,30,16,11
9,4,30,10,6
9.5,4,30,16,13
10,4,30,18,14
10.5,4,30,14,12
11,4,NaN,NaN,NaN
11.5,4,NaN,NaN,NaN
12,4,NaN,NaN,NaN
